k,ell,group,variation,parameter_index,baseline_value,delta,Pell_baseline_AB,Pell_varied_AB,delta_Pell_AB,k_delta_Pell_AB
0.16506944444444446,0,eft,alpha0_ab,0,0.40000000000000002,1,5521.9432920314466,5572.4837282220651,50.540436190618493,8.3426817239652902
0.16708333333333333,0,eft,alpha0_ab,0,0.40000000000000002,1,5442.0998796182066,5492.8242347480546,50.724355129847936,8.4751943362787596
0.16909722222222223,0,eft,alpha0_ab,0,0.40000000000000002,1,5367.3749404502341,5418.3114395157554,50.936499065521275,8.6132205017044665
0.1711111111111111,0,eft,alpha0_ab,0,0.40000000000000002,1,5297.2674530839213,5348.4411778455051,51.173724761583799,8.7563929036487824
0.173125,0,eft,alpha0_ab,0,0.40000000000000002,1,5231.2441796428566,5282.6760657831783,51.431886140321694,8.9041452880431926
0.1751388888888889,0,eft,alpha0_ab,0,0.40000000000000002,1,5168.7833712644679,5220.4899737619908,51.706602497522908,9.0558369096356106
0.17715277777777777,0,eft,alpha0_ab,0,0.40000000000000002,1,5109.3771854689658,5161.3704488976473,51.99326342868153,9.2107510421226788
0.17916666666666667,0,eft,alpha0_ab,0,0.40000000000000002,1,5052.5480906483817,5104.835044106956,52.286953458574317,9.3680791613278984
0.18118055555555557,0,eft,alpha0_ab,0,0.40000000000000002,1,4997.8406339338644,5050.4231806748894,52.582546741024998,9.5269350310648768
0.18319444444444444,0,eft,alpha0_ab,0,0.40000000000000002,1,4944.8078933590868,4997.6827196259401,52.874826266853233,9.6863744230526958
0.18520833333333334,0,eft,alpha0_ab,0,0.40000000000000002,1,4893.0128050309158,4946.1713095287359,53.158504497820104,9.8453980205337661
0.18722222222222223,0,eft,alpha0_ab,0,0.40000000000000002,1,4842.0643429895163,4895.4929062906622,53.428563301145914,10.003014351381207
0.1892361111111111,0,eft,alpha0_ab,0,0.40000000000000002,1,4791.7567738539874,4845.438372558805,53.681598704817588,10.158496977126939
0.19125,0,eft,alpha0_ab,0,0.40000000000000002,1,4741.9421938238993,4795.8569168224931,53.914722998593788,10.311190773481062
0.1932638888888889,0,eft,alpha0_ab,0,0.40000000000000002,1,4692.4740488173338,4746.5991005654869,54.125051748153055,10.460417987160413
0.19527777777777777,0,eft,alpha0_ab,0,0.40000000000000002,1,4643.208140864087,4697.5178515556645,54.309710691577493,10.605479615605271
0.19729166666666667,0,eft,alpha0_ab,0,0.40000000000000002,1,4594.0402789685031,4648.5070317959562,54.466752827453092,10.745836443249599
0.19930555555555557,0,eft,alpha0_ab,0,0.40000000000000002,1,4545.0209025263894,4599.6189980623121,54.598095535922766,10.881703763062385
0.20131944444444444,0,eft,alpha0_ab,0,0.40000000000000002,1,4496.2358664649746,4550.9426173667071,54.706750901732448,11.013532698897386
0.20333333333333334,0,eft,alpha0_ab,0,0.40000000000000002,1,4447.7649930923199,4502.5608212610059,54.795828168686057,11.141818394299499
0.20534722222222224,0,eft,alpha0_ab,0,0.40000000000000002,1,4399.6817664588498,4454.5502949918337,54.868528532983873,11.267099921668981
0.20736111111111111,0,eft,alpha0_ab,0,0.40000000000000002,1,4352.0589069701819,4406.9870404922767,54.928133522094868,11.389958798401061
0.20937500000000001,0,eft,alpha0_ab,0,0.40000000000000002,1,4305.00890447038,4359.9868194407045,54.977914970324491,11.511000946911691
0.2113888888888889,0,eft,alpha0_ab,0,0.40000000000000002,1,4258.6626583458074,4313.683709207965,55.021050862157608,11.630838807250539
0.21340277777777777,0,eft,alpha0_ab,0,0.40000000000000002,1,4213.1483122408117,4268.2089252555188,55.060613014707087,11.750087763485755
0.21541666666666667,0,eft,alpha0_ab,0,0.40000000000000002,1,4168.5902529104014,4223.6898086132369,55.09955570283546,11.869362624319139
0.21743055555555557,0,eft,alpha0_ab,0,0.40000000000000002,1,4125.1078410636756,4180.2485368331108,55.140695769435297,11.989272114868189
0.21944444444444444,0,eft,alpha0_ab,0,0.40000000000000002,1,4082.781947999933,4137.9679957025801,55.186047702647102,12.110271579192002
0.22145833333333334,0,eft,alpha0_ab,0,0.40000000000000002,1,4041.6365633163855,4096.8729549221653,55.236391605779772,12.232559224363312
0.22347222222222224,0,eft,alpha0_ab,0,0.40000000000000002,1,4001.6923281999279,4056.9846112546993,55.29228305477136,12.356289365989879
0.22548611111111111,0,eft,alpha0_ab,0,0.40000000000000002,1,3962.9715347825299,4018.3256885811634,55.354153798633433,12.481592873900192
0.22750000000000001,0,eft,alpha0_ab,0,0.40000000000000002,1,3925.4977059658809,3980.920013495022,55.422307529141108,12.608574962879603
0.22951388888888891,0,eft,alpha0_ab,0,0.40000000000000002,1,3889.2920361670203,3944.7889285511478,55.496892384127477,12.737307592329259
0.23152777777777778,0,eft,alpha0_ab,0,0.40000000000000002,1,3854.3142846667838,3909.8917682307447,55.577483563960868,12.86773126404483
0.23354166666666668,0,eft,alpha0_ab,0,0.40000000000000002,1,3820.4691490860296,3876.1323665526565,55.663217466626975,12.999680579185176
0.23555555555555557,0,eft,alpha0_ab,0,0.40000000000000002,1,3787.6614487248089,3843.4146849689009,55.753236244092022,13.132984537497233
0.23756944444444444,0,eft,alpha0_ab,0,0.40000000000000002,1,3755.798398972559,3811.6451051642448,55.846706191685826,13.267470964010917
0.23958333333333334,0,eft,alpha0_ab,0,0.40000000000000002,1,3724.7897821112051,3780.7326019881539,55.942819876948761,13.402967262185641
0.24159722222222221,0,eft,alpha0_ab,0,0.40000000000000002,1,3694.5483229496031,3750.58911340547,56.040790455866954,13.539299305275078
0.24361111111111111,0,eft,alpha0_ab,0,0.40000000000000002,1,3664.9957017512688,3721.1353464404797,56.139644689210854,13.676241220121645
0.24562500000000001,0,eft,alpha0_ab,0,0.40000000000000002,1,3636.0616446124495,3692.2998510043758,56.238206391926269,13.813509445016891
0.24763888888888888,0,eft,alpha0_ab,0,0.40000000000000002,1,3607.6764520453798,3664.0117873283398,56.335335282959932,13.950819834655215
0.24965277777777778,0,eft,alpha0_ab,0,0.40000000000000002,1,3579.7710007771675,3636.2009424208122,56.429941643644725,14.087891681173804
0.25166666666666665,0,eft,alpha0_ab,0,0.40000000000000002,1,3552.2771218367707,3608.7981092636319,56.520987426861211,14.224448502426737
0.25368055555555552,0,eft,alpha0_ab,0,0.40000000000000002,1,3525.127941667959,3581.7354287510716,56.607487083112574,14.360218771847931
0.25569444444444445,0,eft,alpha0_ab,0,0.40000000000000002,1,3498.2728446841916,3554.9615246097678,56.688679925576253,14.494980519859149
0.25770833333333332,0,eft,alpha0_ab,0,0.40000000000000002,1,3471.712850898396,3528.4772805280245,56.764429629628467,14.628666552468836
0.25972222222222219,0,eft,alpha0_ab,0,0.40000000000000002,1,3445.4590935140532,3502.2938085872693,56.834715073216103,14.761238498182514
