k,P0_single,P0_geometric,P2_single,P2_geometric,P4_single,P4_geometric,fractional_difference_P0,fractional_difference_P2,fractional_difference_P4
0.22750000000000001,3642.7327511500457,3616.8041176581282,2268.6991012437848,2230.3849436001851,278.12584243325477,296.88814235005236,-0.0071179071491674932,-0.016888161864477485,0.067459750423228659
0.22951388888888891,3600.3346351632172,3574.4709247741293,2239.5728986821687,2202.2468615553771,273.77251018570757,293.67984680100471,-0.0071836962421453704,-0.016666587253647922,0.07271488507664059
0.23152777777777778,3559.2428699875695,3533.4745146077566,2210.5940056228487,2174.3123563505033,269.41761390981765,290.46254000051363,-0.0072398418206012644,-0.016412624471096805,0.078112658579703564
0.23354166666666668,3519.3541460381302,3493.7097698916227,2181.7553459848664,2146.5713836545888,265.06188252457787,287.23786520973101,-0.0072866710999733722,-0.016126447172469385,0.083663416534804386
0.23555555555555557,3480.5661583618521,3455.0727038335322,2153.0538163687761,2119.0181798722501,260.70656133786895,284.00793105586115,-0.0073245137050687702,-0.015808075133917753,0.089377764788183559
0.23756944444444444,3442.7799094086504,3417.462767883495,2124.4901046796399,2091.6510220711616,256.35325177667835,280.77508887629199,-0.0073536915490784371,-0.015457394946741927,0.095266344118344462
0.23958333333333334,3405.8998777906309,3380.7830114780536,2096.0685724678078,2064.4720765662028,252.0037521701974,277.54175810037606,-0.00737451693056529,-0.015074170910546553,0.10133978446849033
0.24159722222222221,3369.8342181024723,3344.9402544118566,2067.7970098872602,2037.4871157237228,247.6599174028284,274.31030212401305,-0.0073872962524053455,-0.014658060737397968,0.10760879273748918
0.24361111111111111,3334.4961615376437,3309.8459867416173,2039.6840442422426,2010.702764528148,243.32396913556897,271.08411127378452,-0.007392473585772396,-0.014208710312709918,0.11408716632741127
0.24562500000000001,3299.8029993137843,3275.415369459563,2011.7393112208438,1984.1267524100226,238.99885402948428,267.86795125418928,-0.0073906320647908154,-0.013725714190107565,0.12079178095616953
0.24763888888888888,3265.6740215547979,3241.5657659075941,1983.9764746549315,1957.7711212675886,234.68782107660331,264.66659428123057,-0.0073823215324246563,-0.013208500061423751,0.12773893876172651
