k,variation,tracer,parameter_index,baseline_value,delta,P0_baseline_AB,P0_varied_AB,fractional_response
0.18319444444444444,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4944.8078933590868,5180.8497020982159,0.047735283923999332
0.18520833333333334,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4893.0128050309158,5129.9503523245712,0.048423651589474703
0.18722222222222223,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4842.0643429895163,5079.876175008676,0.04911372818981035
0.1892361111111111,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4791.7567738539874,5030.4210306774476,0.049807256104007887
0.19125,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4741.9421938238993,4981.4363827871002,0.050505505797841237
0.1932638888888889,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4692.4740488173338,4932.7751370392307,0.051209891780320246
0.19527777777777777,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4643.208140864087,4884.2926446653792,0.051921967847951583
0.19729166666666667,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4594.0402789685031,4835.8842548633766,0.05264298116889269
0.19930555555555557,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4545.0209025263894,4787.5996488940727,0.0533724160064575
0.20131944444444444,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4496.2358664649746,4739.5239467368265,0.054109278849538991
0.20333333333333334,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4447.7649930923199,4691.7363622089633,0.054852576405351343
0.20534722222222224,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4399.6817664588498,4644.3098913303993,0.055601322517569753
0.20736111111111111,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4352.0589069701819,4597.3168967076017,0.05635447382033798
0.20937500000000001,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4305.00890447038,4550.8697341600755,0.057110411417358571
0.2113888888888889,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4258.6626583458074,4505.0993053380871,0.057867144397862016
0.21340277777777777,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4213.1483122408117,4460.1338273718238,0.058622554162981746
0.21541666666666667,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4168.5902529104014,4416.0978272743878,0.059374407017140383
0.21743055555555557,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4125.1078410636756,4373.1108710628014,0.060120374922168644
0.21944444444444444,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4082.781947999933,4331.2542570807855,0.060858579332793837
0.22145833333333334,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4041.6365633163855,4290.5526999906269,0.061587956456429137
0.22347222222222224,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4001.6923281999279,4251.027590302876,0.062307454360217132
0.22548611111111111,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3962.9715347825299,4212.7019660735086,0.063015953836439237
0.22750000000000001,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3925.4977059658809,4175.6000923469455,0.063712274242566702
0.22951388888888891,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3889.2920361670203,4139.7439095059126,0.06439523466222348
0.23152777777777778,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3854.3142846667838,4105.09406806672,0.065064695008807974
0.23354166666666668,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3820.4691490860296,4071.5562647002193,0.065721539898904127
0.23555555555555557,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3787.6614487248089,4039.0362809890439,0.066366763679173421
0.23756944444444444,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3755.798398972559,4007.4422545879206,0.067001427894586046
0.23958333333333334,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3724.7897821112051,3976.6848520931298,0.067626654044124601
0.24159722222222221,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3694.5483229496031,3946.6776470173809,0.068243612487516814
0.24361111111111111,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3664.9957017512688,3917.343142470861,0.068853407003727565
0.24562500000000001,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,3636.0616446124495,3888.6118590664319,0.069457077227550817
