k,mu,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean
0.13284722222222223,0.5,10246.684880029408,6741.5960580675328,4437.0824367687992,6742.8024972026951,-0.00017892250820972233,1
0.13284722222222223,1,17418.358662201685,12329.888054286606,8742.7454168974782,12340.351508925516,-0.00084790572062243275,1
0.1348611111111111,0,8352.2117626001873,5291.6441788137172,3344.0405967611714,5284.8968965232616,0.00127671029777221,1
0.1348611111111111,0.5,10078.342505593682,6621.8382934786268,4351.7480643791359,6622.5680435060294,-0.00011019139744716799,1
0.1348611111111111,1,17180.748938180946,12144.377265636911,8597.8911494377007,12153.93801351221,-0.00078663786705757133,1
0.136875,0,8204.6167828867328,5191.556648875222,3275.9640373833131,5184.4025230732723,0.0013799325515544414,1
0.136875,0.5,9905.0733876680843,6498.8728822573212,4264.323663781217,6499.1106190403161,-3.6579894839516847e-05,1
0.136875,1,16941.021609627365,11957.699792005684,8452.461162016014,11966.34142920255,-0.00072216201150476778,1
0.1388888888888889,0,8052.2903367409372,5088.4652982836296,3205.9802801190222,5080.8940187121007,0.0014901471165595925,1
0.1388888888888889,0.5,9727.7910044754572,6373.3353322816774,4175.251930304622,6373.0666220459434,4.2163412320883609e-05,1
0.1388888888888889,1,16700.331863532156,11770.721009808893,8307.1048963304474,11778.429801713442,-0.00065448383480015693,1
0.14090277777777779,0,7896.5364532030289,4983.2372192627463,3134.6661580440145,4975.239249083048,0.0016075548891789637,1
0.14090277777777779,0.5,9547.9182566544878,6246.2103039801177,4085.214929189859,6245.4221798665722,0.00012619228786259207,1
0.14090277777777779,1,16460.315342583814,11584.665852704295,8162.7410239691508,11591.431806053026,-0.00058370298526866371,1
0.14291666666666666,0,7738.6585385666194,4876.7390131873281,3062.59811390818,4868.3057673479752,0.001732275301176589,1
0.14291666666666666,0.5,9366.8642042892643,6118.4729794146533,3994.8882440949692,6117.154215298905,0.00021558457892889571,1
